,context,duration,end_time,request_no,simulation_name,start_time,status
167,USER,0,2018-06-17 20:05:23.181,168,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.181,START
168,USER,0,2018-06-17 20:05:23.181,169,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.181,START
169,USER,0,2018-06-17 20:05:23.182,170,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.182,START
170,USER,0,2018-06-17 20:05:23.182,171,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.182,START
171,USER,0,2018-06-17 20:05:23.186,172,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.186,START
172,USER,0,2018-06-17 20:05:23.187,173,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.187,START
173,USER,0,2018-06-17 20:05:23.187,174,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.187,START
174,USER,0,2018-06-17 20:05:23.188,175,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.188,START
175,USER,0,2018-06-17 20:05:23.188,176,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.188,START
176,USER,0,2018-06-17 20:05:23.188,177,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.188,START
177,USER,0,2018-06-17 20:05:23.189,178,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.189,START
178,USER,0,2018-06-17 20:05:23.189,179,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.189,START
179,USER,0,2018-06-17 20:05:23.190,180,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.190,START
180,USER,0,2018-06-17 20:05:23.190,181,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.190,START
181,USER,0,2018-06-17 20:05:23.190,182,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.190,START
182,USER,0,2018-06-17 20:05:23.191,183,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.191,START
183,USER,0,2018-06-17 20:05:23.191,184,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.191,START
184,USER,0,2018-06-17 20:05:23.192,185,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.192,START
185,USER,0,2018-06-17 20:05:23.192,186,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.192,START
186,USER,0,2018-06-17 20:05:23.192,187,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.192,START
187,USER,0,2018-06-17 20:05:23.193,188,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.193,START
188,USER,0,2018-06-17 20:05:23.193,189,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.193,START
189,USER,0,2018-06-17 20:05:23.194,190,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.194,START
190,USER,0,2018-06-17 20:05:23.194,191,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.194,START
191,USER,0,2018-06-17 20:05:23.195,192,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.195,START
192,USER,0,2018-06-17 20:05:23.195,193,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.195,START
193,USER,0,2018-06-17 20:05:23.195,194,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.195,START
194,USER,0,2018-06-17 20:05:23.196,195,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.196,START
195,USER,0,2018-06-17 20:05:23.196,196,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.196,START
196,USER,0,2018-06-17 20:05:23.196,197,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.196,START
197,USER,0,2018-06-17 20:05:23.197,198,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.197,START
198,USER,0,2018-06-17 20:05:23.197,199,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.197,START
199,USER,0,2018-06-17 20:05:23.198,200,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.198,START
200,USER,0,2018-06-17 20:05:23.198,201,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.198,START
201,USER,0,2018-06-17 20:05:23.269,202,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.269,START
202,USER,0,2018-06-17 20:05:23.270,203,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.270,START
203,USER,0,2018-06-17 20:05:23.271,204,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.271,START
204,USER,0,2018-06-17 20:05:23.272,205,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.272,START
205,USER,0,2018-06-17 20:05:23.273,206,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.273,START
206,USER,0,2018-06-17 20:05:23.276,207,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.276,START
207,USER,0,2018-06-17 20:05:23.277,208,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.277,START
208,USER,0,2018-06-17 20:05:23.277,209,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.277,START
209,USER,0,2018-06-17 20:05:23.278,210,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.278,START
210,USER,0,2018-06-17 20:05:23.279,211,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.279,START
211,USER,0,2018-06-17 20:05:23.279,212,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.279,START
212,USER,0,2018-06-17 20:05:23.280,213,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.280,START
213,USER,0,2018-06-17 20:05:23.280,214,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.280,START
214,USER,0,2018-06-17 20:05:23.280,215,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.280,START
215,USER,0,2018-06-17 20:05:23.281,216,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.281,START
